domain,count,proportion,percentage
IIoT,26,0.37142857142857144,37.14
Smart Environment,23,0.32857142857142857,32.86
Efficient AI,12,0.17142857142857143,17.14
Computer Vision,10,0.14285714285714285,14.29
Orchestration,9,0.12857142857142856,12.86
Data Streaming & Real-Time,8,0.11428571428571428,11.43
Autonomous Systems,5,0.07142857142857142,7.14
Industry 4.0,5,0.07142857142857142,7.14
Healthcare,4,0.05714285714285714,5.71
Federated Learning,3,0.04285714285714286,4.29
IoT,2,0.02857142857142857,2.86
Mobile IoT,1,0.014285714285714285,1.43
Others,1,0.014285714285714285,1.43
MDE,1,0.014285714285714285,1.43
Speech,1,0.014285714285714285,1.43
Robotics,1,0.014285714285714285,1.43
Audio Analysis,1,0.014285714285714285,1.43
