repo_id,domain
1,Data Streaming & Real-Time
1,Smart Environment
2,Data Streaming & Real-Time
3,Data Streaming & Real-Time
3,Healthcare
4,Efficient AI
4,IIoT
5,Computer Vision
5,IIoT
5,IoT
6,Computer Vision
7,Autonomous Systems
7,Smart Environment
8,Data Streaming & Real-Time
8,IIoT
9,IIoT
10,IIoT
10,Smart Environment
11,Healthcare
11,IIoT
11,Smart Environment
12,Autonomous Systems
12,Efficient AI
12,IIoT
12,Smart Environment
13,Computer Vision
13,IIoT
13,Smart Environment
14,IIoT
14,Industry 4.0
15,IIoT
15,Smart Environment
16,Efficient AI
16,Federated Learning
17,Efficient AI
17,IIoT
17,Smart Environment
18,Orchestration
19,Mobile IoT
20,Efficient AI
20,Orchestration
20,Smart Environment
21,IIoT
22,Orchestration
23,Efficient AI
24,Orchestration
25,IIoT
26,IIoT
27,IIoT
28,IIoT
29,Data Streaming & Real-Time
30,Computer Vision
30,IIoT
30,Orchestration
31,Others
32,Computer Vision
33,Smart Environment
34,Smart Environment
35,Healthcare
35,Industry 4.0
35,Smart Environment
36,Autonomous Systems
36,IIoT
36,Smart Environment
37,Smart Environment
38,Efficient AI
38,IIoT
38,Smart Environment
39,Autonomous Systems
39,IIoT
40,Orchestration
40,Smart Environment
41,IIoT
41,Industry 4.0
42,IIoT
43,Efficient AI
43,Orchestration
44,Federated Learning
45,MDE
46,Smart Environment
47,Data Streaming & Real-Time
47,Smart Environment
48,Industry 4.0
48,Smart Environment
49,Smart Environment
50,Efficient AI
51,Computer Vision
51,Speech
52,IIoT
53,Computer Vision
54,Orchestration
55,Federated Learning
56,Data Streaming & Real-Time
56,Efficient AI
56,IoT
57,Smart Environment
58,Autonomous Systems
58,Industry 4.0
58,Smart Environment
59,IIoT
60,IIoT
61,IIoT
62,Efficient AI
63,Robotics
64,Efficient AI
65,Data Streaming & Real-Time
66,Smart Environment
67,Computer Vision
68,Audio Analysis
68,Healthcare
69,Computer Vision
69,Orchestration
70,Computer Vision
